ToVol,OccRate,Speed,HeavyRatio,label
167,7.85,47.0,0.012,1
154,5.75,51.0,0.039,2
177,8.33,47.7,0.0113,2
179,7.1,50.4,0.0,2
164,6.77,49.6,0.0122,1
129,5.3,50.7,0.0233,2
174,6.64,51.5,0.0057,2
184,8.74,47.1,0.0109,2
184,8.43,50.0,0.0109,1
142,5.97,50.3,0.0,1
168,6.22,52.6,0.0179,2
154,7.43,49.0,0.026,2
157,8.32,48.8,0.0127,2
169,7.5,48.4,0.0178,2
151,6.47,48.5,0.0,2
168,9.08,49.7,0.0119,2
146,7.2,50.5,0.0068,2
148,6.34,48.4,0.0,1
133,6.35,52.3,0.0226,1
122,5.5,53.0,0.0,2
132,8.15,48.4,0.0227,2
127,8.42,48.6,0.0394,1
138,7.39,51.6,0.0,1
122,6.01,54.7,0.0082,1
146,6.86,51.0,0.0068,2
138,6.76,48.0,0.0145,1
114,4.57,55.1,0.0088,1
99,3.94,51.4,0.0,1
115,4.83,48.0,0.0174,1
133,5.52,51.3,0.0075,2
139,6.0,46.3,0.0,1
126,4.73,52.3,0.0,2
157,6.76,48.9,0.0064,1
137,5.71,49.4,0.0146,2
142,6.73,46.9,0.007,1
103,4.3,50.0,0.0,2
155,7.64,43.3,0.0,2
150,6.59,47.7,0.0,2
170,8.02,45.8,0.0059,1
134,5.62,48.9,0.0075,2
139,6.33,46.0,0.0072,1
119,5.3,47.8,0.0252,1
133,5.47,51.2,0.0075,1
117,5.03,48.5,0.0,1
124,5.12,49.0,0.0242,1
113,4.27,55.3,0.0,1
119,4.78,51.9,0.0168,1
144,6.1,50.9,0.0069,1
134,5.09,52.5,0.0075,1
129,5.52,49.2,0.0078,1
143,5.87,50.1,0.007,1
123,5.25,50.8,0.0163,2
144,6.14,47.6,0.0,2
149,6.18,47.6,0.0067,2
164,6.99,47.6,0.0,2
140,5.94,46.1,0.0,1
147,5.83,49.0,0.0136,1
134,5.77,49.0,0.0,2
151,6.36,49.1,0.0132,2
134,5.53,46.7,0.0224,2
154,7.37,45.6,0.0,1
114,4.24,51.7,0.0,2
