date,open,high,low,close,5ma,20ma,60ma,120ma,trading
2020-06-22,"20,422","20,843","20,228","20,520","20,325.40","19,360.85","15,214.35","15,021.21","714,652"
2020-06-23,"20,811","21,232","20,164","20,520","20,435.60","19,527.55","15,365.93","15,082.71","977,878"
2020-06-24,"20,811","20,843","20,390","20,520","20,455.20","19,708.80","15,521.83","15,137.73","525,596"
2020-06-25,"19,969","20,778","19,969","20,520","20,539.40","19,927.30","15,676.65","15,187.63","782,358"
2020-06-26,"20,843","20,908","19,549","19,840","20,384.00","20,129.60","15,816.90","15,229.71","1,101,633"
2020-06-29,"19,257","19,613","18,901","19,128","20,105.60","20,205.65","15,943.67","15,267.74","793,039"
2020-06-30,"19,678","19,872","18,837","19,063","19,814.20","20,246.10","16,074.75","15,303.88","513,705"
2020-07-01,"19,419","19,840","18,966","19,128","19,535.80","20,296.30","16,199.37","15,342.45","567,434"
2020-07-02,"19,516","19,678","19,095","19,549","19,341.60","20,246.15","16,329.37","15,389.38","396,268"
2020-07-03,"19,969","20,552","19,840","20,066","19,386.80","20,210.55","16,459.37","15,432.80","898,297"
2020-07-06,"20,293","20,876","19,969","20,681","19,697.40","20,208.90","16,594.22","15,477.84","988,615"
2020-07-07,"21,167","21,232","20,099","20,196","19,924.00","20,153.90","16,719.37","15,519.92","886,681"
2020-07-08,"20,261","20,649","20,002","20,422","20,182.80","20,110.20","16,847.73","15,564.96","569,238"
2020-07-09,"20,584","20,778","20,261","20,552","20,383.40","20,073.00","16,980.43","15,611.62","601,196"
2020-07-10,"20,552","20,617","19,840","20,099","20,390.00","20,029.30","17,114.22","15,654.23","663,437"
2020-07-13,"20,487","20,908","20,228","20,681","20,390.00","20,129.60","17,247.98","15,702.51","684,399"
2020-07-14,"20,520","20,843","20,390","20,455","20,441.80","20,153.90","17,370.97","15,746.48","609,956"
2020-07-15,"20,649","20,714","20,325","20,584","20,474.20","20,162.00","17,490.17","15,795.29","506,934"
2020-07-16,"20,778","21,782","20,584","20,973","20,558.40","20,205.70","17,618.02","15,847.08","1,856,667"
2020-07-17,"20,973","21,134","20,520","20,908","20,720.20","20,220.25","17,749.10","15,898.86","484,419"
2020-07-20,"21,037","21,232","20,228","21,232","20,830.40","20,255.85","17,887.20","15,959.82","995,601"
2020-07-21,"21,749","22,073","21,134","21,393","21,018.00","20,299.50","18,024.75","16,023.19","1,528,590"
2020-07-22,"21,361","25,051","21,134","24,727","21,846.60","20,509.85","18,222.72","16,114.63","7,216,363"
2020-07-23,"24,856","24,856","23,821","24,274","22,506.80","20,697.55","18,410.43","16,206.33","2,559,127"
2020-07-24,"23,724","23,950","22,785","23,012","22,927.60","20,856.15","18,578.20","16,275.10","1,919,704"
2020-07-27,"22,850","23,400","22,526","22,753","23,231.80","21,037.40","18,739.48","16,338.22","1,118,370"
2020-07-28,"23,173","23,303","22,753","22,882","23,529.60","21,228.35","18,905.62","16,400.79","752,131"
2020-07-29,"22,688","23,368","22,461","23,368","23,257.80","21,440.35","19,075.53","16,461.48","825,571"
2020-07-30,"23,303","23,821","22,979","23,788","23,160.60","21,652.30","19,250.83","16,520.82","1,013,035"
2020-07-31,"23,724","24,371","23,368","23,497","23,257.60","21,823.85","19,415.35","16,577.46","1,350,332"
2020-08-03,"23,853","24,630","23,756","24,144","23,535.80","21,997.00","19,594.97","16,628.70","1,150,853"
2020-08-04,"24,500","24,533","23,821","24,112","23,781.80","22,192.80","19,776.75","16,679.41","653,755"
2020-08-05,"24,112","24,695","23,756","24,533","24,014.80","22,398.35","19,941.28","16,733.08","1,231,373"
2020-08-06,"24,954","26,798","24,921","25,730","24,403.20","22,657.25","20,131.15","16,798.35","3,224,031"
2020-08-07,"25,957","27,510","25,860","27,122","25,128.20","23,008.40","20,343.68","16,876.83","2,600,488"
2020-08-10,"27,349","27,349","26,475","27,251","25,749.60","23,336.90","20,547.58","16,962.06","1,370,459"
2020-08-11,"27,251","28,287","26,895","27,478","26,422.80","23,688.05","20,755.27","17,047.56","1,188,619"
2020-08-12,"27,446","30,100","27,284","29,064","27,329.00","24,112.05","20,982.37","17,144.93","3,114,908"
2020-08-13,"29,161","29,905","28,287","28,870","27,957.00","24,506.90","21,205.15","17,247.42","1,268,383"
2020-08-14,"28,481","28,578","26,895","27,219","27,976.40","24,822.45","21,404.73","17,341.82","1,679,988"
2020-08-18,"26,863","27,672","25,439","25,892","27,704.60","25,055.45","21,557.38","17,421.65","1,555,922"
2020-08-19,"26,216","27,154","25,633","27,154","27,639.80","25,343.50","21,723.52","17,513.62","973,991"
2020-08-20,"26,863","27,154","24,824","25,342","26,895.40","25,374.25","21,864.30","17,596.15","1,465,061"
2020-08-21,"25,698","26,798","25,212","26,183","26,358.00","25,469.70","22,031.52","17,691.63","1,155,296"
2020-08-24,"25,763","27,025","25,471","26,993","26,312.80","25,668.75","22,218.17","17,787.11","926,394"
2020-08-25,"27,251","28,093","27,187","27,510","26,636.40","25,906.60","22,383.22","17,887.71","852,541"
2020-08-26,"27,446","27,769","26,475","27,510","26,707.60","26,138.00","22,537.48","17,982.92","978,203"
2020-08-27,"27,834","28,384","27,187","27,316","27,102.40","26,335.40","22,690.68","18,076.51","1,315,494"
2020-08-28,"27,575","28,481","27,219","28,158","27,497.40","26,553.90","22,817.45","18,179.27","1,157,513"
2020-08-31,"29,064","30,682","28,481","30,488","28,196.40","26,903.45","22,979.28","18,309.27","2,832,456"
2020-09-01,"30,876","31,200","29,452","29,808","28,656.00","27,186.65","23,130.85","18,429.83","1,392,449"
2020-09-02,"30,100","31,200","29,582","31,200","29,394.00","27,541.05","23,295.92","18,567.92","1,169,261"
2020-09-03,"31,718","32,171","30,779","31,524","30,235.60","27,890.60","23,466.38","18,716.53","1,303,005"
2020-09-04,"29,582","33,530","29,582","32,948","31,193.60","28,251.50","23,660.58","18,886.45","2,242,925"
2020-09-07,"33,919","35,731","33,401","34,437","31,983.40","28,617.25","23,884.98","19,076.06","2,910,346"
2020-09-08,"34,954","35,149","33,336","33,919","32,805.60","28,950.65","24,139.05","19,256.23","1,144,397"
2020-09-09,"33,207","34,954","32,948","34,437","33,453.00","29,298.60","24,380.18","19,450.96","1,180,744"
2020-09-10,"35,019","35,084","33,919","34,566","34,061.40","29,573.70","24,615.92","19,664.03","888,200"
2020-09-11,"34,437","34,437","33,077","33,401","34,152.00","29,800.25","24,837.62","19,855.25","996,766"
2020-09-14,"33,401","33,919","32,818","33,401","33,944.80","30,109.35","25,050.68","20,051.60","744,027"
2020-09-15,"33,725","34,113","33,271","33,530","33,867.00","30,491.25","25,267.52","20,240.93","617,706"
2020-09-16,"33,789","34,631","32,624","32,948","33,569.20","30,780.95","25,474.65","20,420.29","917,114"
2020-09-17,"32,624","33,595","32,495","33,142","33,284.40","31,170.95","25,685.02","20,603.43","724,410"
2020-09-18,"33,466","34,501","32,818","33,725","33,349.20","31,548.05","25,905.10","20,790.88","1,022,615"
2020-09-21,"33,725","34,307","32,754","33,207","33,310.40","31,858.75","26,127.88","20,972.39","733,033"
