,Date,ToVol,SmVol,MeVol,LaVol,Speed,OccRate,hour,sp3
41,2017-04-03 3:15,13,7,6,0,71.8,0.58,3,Fast
42,2017-04-09 4:05,15,10,5,0,71.5,0.6,4,Fast
43,2017-04-22 2:10,23,20,3,0,71.4,0.81,2,Fast
44,2017-04-22 3:35,12,8,4,0,71.3,0.48,3,Fast
45,2017-04-02 4:10,19,10,9,0,71.3,0.87,4,Fast
46,2017-04-10 3:30,9,6,3,0,71.3,0.42,3,Fast
47,2017-04-14 2:15,12,8,4,0,71.3,0.47,2,Fast
48,2017-04-03 2:20,7,5,2,0,71.3,0.27,2,Fast
49,2017-04-19 2:00,19,17,2,0,71.0,0.78,2,Fast
50,2017-04-23 3:30,21,17,4,0,71.0,0.72,3,Fast
51,2017-04-16 4:00,11,8,3,0,70.7,0.51,4,Fast
52,2017-04-12 3:30,17,11,6,0,70.5,0.63,3,Fast
53,2017-04-24 3:15,10,7,3,0,70.4,0.39,3,Fast
54,2017-04-28 1:20,27,18,9,0,70.3,1.09,1,Fast
55,2017-04-02 5:15,25,15,9,1,70.3,1.03,5,Fast
56,2017-04-21 4:10,8,6,2,0,70.3,0.3,4,Fast
57,2017-04-27 4:05,15,9,6,0,70.1,0.56,4,Fast
58,2017-04-04 2:40,8,5,3,0,70.1,0.31,2,Fast
59,2017-04-29 4:30,18,14,4,0,70.1,0.68,4,Fast
60,2017-04-24 4:25,28,18,10,0,70.1,1.13,4,Fast
61,2017-04-08 3:10,22,16,6,0,69.9,0.87,3,Fast
62,2017-04-28 2:10,15,11,4,0,69.9,0.64,2,Fast
63,2017-04-19 5:10,24,13,11,0,69.7,0.88,5,Fast
64,2017-04-09 1:25,20,13,6,1,69.6,0.8,1,Fast
65,2017-04-14 1:15,31,15,16,0,69.6,1.46,1,Fast
66,2017-04-20 0:40,19,14,5,0,69.6,0.76,0,Fast
67,2017-04-17 4:30,18,10,8,0,69.6,0.77,4,Fast
68,2017-04-13 5:45,52,34,18,0,69.6,1.89,5,Fast
69,2017-04-23 4:30,25,15,10,0,69.6,0.96,4,Fast
70,2017-04-02 2:35,13,7,6,0,69.5,0.49,2,Fast
