from,to,cost
VDS0011,VDS0025,3661.929491
VDS0011,VDS0026,3473.070635
VDS0011,VDS0027,3338.409134
VDS0011,VDS0028,5106.928519
VDS0011,VDS0029,4366.026101
VDS0011,VDS0030,4219.508018
VDS0011,VDS0031,4169.762139
VDS0011,VDS0032,5963.745987
VDS0011,VDS0033,6053.790838
VDS0011,VDS0034,5981.816154
VDS0011,VDS0035,5955.927793
VDS0011,VDS0036,6343.866622
VDS0011,VDS0037,6408.648758
VDS0011,VDS0038,7681.563244
VDS0011,VDS0039,7731.898464
VDS0011,VDS0040,8248.215838
VDS0011,VDS0041,6404.830855
VDS0011,VDS0042,6441.998054
VDS0011,VDS0043,6747.291746
VDS0011,VDS0044,6769.228355
VDS0011,VDS0045,9848.012532
VDS0011,VDS0046,9661.980744
VDS0011,VDS0047,8557.938398
VDS0011,VDS0048,8382.26101
VDS0011,VDS0049,8550.714384
VDS0011,VDS0050,8587.127079
VDS0011,VDS0051,9814.315024
VDS0011,VDS0052,9926.067137
VDS0011,VDS0053,10457.45585
VDS0011,VDS0054,10448.91566
VDS0011,VDS0059,4244.132136
VDS0011,VDS0060,4116.57459
VDS0011,VDS0063,3950.914871
VDS0011,VDS0064,3936.461841
VDS0011,VDS0065,5002.168315
VDS0011,VDS0066,5038.685323
VDS0011,VDS0067,6345.666915
VDS0011,VDS0068,6521.992328
VDS0011,VDS0069,6598.631458
VDS0011,VDS0070,7389.095736
VDS0011,VDS0071,7365.592631
VDS0011,VDS0072,7354.544926
VDS0011,VDS0073,9845.825763
VDS0011,VDS0074,9647.794721
VDS0011,VDS0075,8866.793378
VDS0011,VDS0076,8909.652631
VDS0011,VDS0077,8404.909752
VDS0011,VDS0078,6048.682401
VDS0011,VDS0079,7248.831517
VDS0011,VDS0080,7297.508192
VDS0011,VDS0081,7820.623429
VDS0011,VDS0082,7774.475595
VDS0011,VDS0083,9301.892581
VDS0011,VDS0084,6985.872139
VDS0011,VDS0085,6923.145044
VDS0011,VDS0086,6436.029299
VDS0011,VDS0087,4591.839769
VDS0011,VDS0088,2543.482986
VDS0011,VDS0089,2231.813481
VDS0011,VDS0090,3390.058424
VDS0011,VDS0091,3469.740207
VDS0011,VDS0092,1117.515252
VDS0011,VDS0093,2625.307898
VDS0011,VDS0094,2619.128823
VDS0011,VDS0095,5857.64709
